ID,iphone,samsunggalaxy,sonyxperia,nokialumina,htcphone,galaxysentiment
1,0,0,0,0,0,1
2,0,0,0,0,0,1
3,0,0,0,0,0,1
4,0,0,0,0,0,1
5,0,0,0,0,0,1
6,0,0,0,0,0,1
7,0,0,0,0,0,1
8,0,0,0,0,0,1
9,0,0,0,0,0,1
10,0,0,0,0,0,1
11,0,0,0,0,0,1
12,0,0,0,0,0,1
13,0,0,0,0,0,1
14,0,0,0,0,0,1
15,0,0,0,0,0,1
16,2,0,0,0,0,4
17,1,0,0,0,0,4
18,1,0,0,0,0,4
19,11,0,0,0,0,4
20,1,0,0,0,0,4
21,0,0,0,0,0,1
22,1,0,0,0,0,4
23,1,0,0,0,0,4
24,1,0,0,0,1,4
25,0,0,0,0,0,1
26,1,0,0,0,0,4
27,0,0,0,0,0,1
28,0,0,0,0,0,1
29,0,0,0,0,0,1
30,0,0,0,0,0,1
31,1,0,0,0,0,4
32,1,0,0,0,0,3
33,1,0,0,0,0,3
34,1,0,0,0,0,3
35,1,0,0,0,0,4
36,0,0,0,0,0,2
37,1,0,0,0,0,4
38,1,0,0,0,0,4
39,1,0,0,0,0,4
40,0,0,0,0,0,1
41,0,2,0,0,0,2
42,1,0,0,0,0,4
43,1,0,0,0,0,4
44,0,0,0,0,1,1
45,1,0,0,0,0,4
46,0,2,0,0,0,1
47,0,0,0,0,0,1
48,0,0,0,0,0,1
49,0,1,0,0,0,1
50,1,0,0,0,0,4
51,1,0,0,0,0,4
52,1,0,0,0,0,4
53,1,0,0,0,0,4
54,2,1,0,0,0,3
55,1,0,0,0,0,3
56,1,0,0,0,0,4
57,3,0,0,0,0,4
58,1,0,0,0,0,3
59,0,0,0,0,0,1
60,1,0,0,0,0,4
61,1,0,0,0,0,3
62,0,2,0,0,0,1
63,1,0,0,0,0,4
64,0,0,0,0,0,1
65,0,0,0,0,0,1
66,1,0,0,0,0,4
67,0,0,0,0,0,1
68,1,0,0,0,0,4
69,1,0,0,0,0,3
70,0,1,0,0,0,1
71,1,0,0,0,0,4
72,1,0,0,0,0,3
73,1,0,0,0,0,4
74,0,1,0,0,0,1
75,0,0,0,0,0,2
76,0,1,0,0,0,1
77,0,0,0,0,0,2
78,0,0,3,0,0,1
79,1,0,0,0,0,4
80,0,0,0,0,0,1
81,1,0,0,0,0,3
82,1,0,0,0,0,4
83,1,0,0,0,0,4
84,0,0,0,0,0,2
85,1,0,0,0,0,4
86,1,0,0,0,0,4
87,0,0,0,0,0,1
88,1,0,0,0,0,4
89,0,0,1,0,0,1
90,2,0,0,0,0,4
91,1,0,0,0,0,4
92,1,0,0,0,0,4
93,1,0,0,0,0,4
94,1,0,0,0,0,3
95,1,0,0,0,0,4
96,1,0,0,0,0,4
97,1,0,0,0,0,4
98,7,0,0,0,0,4
99,1,0,0,0,0,4
100,0,0,0,0,0,1
101,1,0,0,0,0,4
102,0,0,0,0,0,2
103,1,0,0,0,0,4
104,1,0,0,0,0,4
105,1,0,0,0,0,4
106,0,0,0,0,0,2
107,13,15,9,0,9,4
108,5,0,0,0,1,2
109,1,0,0,0,0,4
110,0,0,0,0,0,1
111,0,0,0,0,0,1
112,0,0,0,0,0,1
113,0,0,0,0,0,1
114,0,0,0,0,0,1
115,0,0,0,0,0,1
116,0,0,0,0,0,1
117,0,0,0,0,0,1
118,0,0,0,0,0,1
119,0,0,0,0,0,1
120,0,0,0,0,0,1
121,0,0,0,0,0,1
122,0,0,0,0,0,1
123,0,0,0,0,0,1
124,0,0,0,0,0,1
125,0,0,0,0,0,1
126,0,0,0,0,0,1
127,0,0,0,0,0,1
128,0,0,0,0,0,1
129,0,0,0,0,0,1
130,0,0,0,0,0,1
131,0,0,0,0,0,1
132,0,0,0,0,0,1
133,0,0,0,0,0,1
134,0,0,0,0,0,1
135,4,0,0,0,0,4
136,1,0,0,0,0,4
137,1,0,0,0,0,4
138,1,0,0,0,0,4
139,0,0,0,0,0,1
140,2,0,0,0,0,4
141,1,0,0,0,1,4
142,1,0,0,0,0,3
143,1,0,0,0,0,4
144,1,0,0,0,0,4
145,0,0,0,0,0,1
146,13,15,9,0,9,4
147,1,0,0,0,0,4
148,1,0,0,0,0,4
149,2,0,0,0,0,1
150,1,0,0,0,0,4
151,2,2,0,0,0,3
152,1,0,0,0,0,4
153,0,0,0,0,0,1
154,4,0,0,0,0,4
155,1,0,0,0,0,4
156,0,0,0,0,0,1
157,1,0,0,0,0,4
158,0,0,0,0,0,1
159,0,0,0,0,0,1
160,1,0,0,0,0,4
161,1,0,0,0,0,4
162,0,0,0,0,0,1
163,0,1,0,0,0,1
164,0,0,0,0,0,1
165,0,0,0,0,0,1
166,1,0,0,0,0,4
167,1,0,0,0,0,4
168,0,0,0,0,0,1
169,0,0,0,0,0,1
170,1,0,0,0,0,4
171,1,0,0,0,0,3
172,0,0,0,0,0,1
173,1,0,0,0,1,4
174,0,0,0,0,0,1
175,1,0,0,0,0,4
176,1,0,0,0,0,4
177,1,0,0,0,0,4
178,1,0,0,0,0,3
179,1,0,0,0,0,4
180,0,0,0,0,0,1
181,0,0,0,0,0,1
182,0,0,0,0,0,1
183,0,0,0,0,0,1
184,0,0,0,0,0,1
185,0,0,0,0,0,1
186,0,0,0,0,0,1
187,0,0,0,0,0,1
188,0,0,0,0,0,1
189,0,0,0,0,0,1
190,0,0,0,0,0,1
191,0,0,0,0,0,1
192,1,0,0,0,0,4
193,2,0,0,0,0,4
194,1,0,0,0,0,4
195,1,0,0,0,0,4
196,0,0,0,0,0,2
197,0,0,0,0,0,1
198,0,0,1,0,0,1
199,0,0,0,0,0,1
200,1,0,0,0,0,4
201,1,0,0,0,0,4
202,1,0,0,0,0,4
203,1,0,0,0,0,4
204,0,0,1,0,0,1
205,1,0,0,0,0,4
206,1,0,0,0,0,4
207,0,0,0,0,0,1
208,1,0,0,0,0,4
209,3,0,0,0,0,4
210,0,0,0,0,0,1
211,0,0,0,0,0,1
212,2,0,0,0,0,4
213,0,0,0,0,0,1
214,0,0,0,0,0,2
215,1,0,0,0,0,4
216,1,0,0,0,0,4
217,0,0,0,0,0,1
218,1,0,1,0,0,3
219,2,0,0,0,0,4
220,2,0,0,0,0,4
221,0,0,0,0,0,1
222,0,0,0,0,0,1
223,2,0,0,0,0,4
224,0,0,0,0,0,1
225,1,0,0,0,0,4
226,0,0,0,0,0,1
227,1,0,0,0,0,4
228,0,0,0,0,0,1
229,0,0,0,0,0,1
230,1,0,0,0,0,4
231,0,0,0,0,0,1
232,1,0,0,0,0,4
233,1,0,0,0,0,4
234,1,0,0,0,0,4
235,1,0,0,0,0,4
236,1,0,0,0,0,1
237,2,0,0,0,0,4
238,1,0,0,0,0,4
239,0,0,0,0,0,1
240,0,0,0,0,0,1
241,0,0,0,0,0,1
242,1,0,0,0,0,4
243,0,0,0,0,0,1
244,2,0,0,0,0,4
245,0,0,0,0,0,1
246,3,0,0,0,0,4
247,1,0,0,0,0,4
248,1,1,1,0,0,4
249,0,0,0,0,0,1
250,0,0,0,0,0,2
251,1,0,0,0,0,4
252,1,0,0,0,0,4
253,1,0,0,0,0,4
254,1,0,0,0,0,4
255,0,0,0,0,0,1
256,0,0,0,0,0,1
257,1,0,0,0,0,4
258,1,1,0,0,0,3
259,1,0,0,0,0,4
260,1,0,0,0,0,4
261,1,0,0,0,0,3
262,1,0,0,0,0,4
263,1,0,0,0,1,4
264,1,0,0,0,0,4
265,0,1,0,0,0,1
266,0,0,0,0,0,1
267,0,0,0,0,0,1
268,0,0,0,0,0,1
269,2,0,0,0,0,1
270,1,0,0,0,0,4
271,2,2,0,0,0,3
272,0,0,0,0,0,1
273,1,0,0,0,0,4
274,1,0,0,0,0,4
275,1,0,0,0,0,4
276,1,0,0,0,0,4
277,1,0,0,0,0,4
278,1,0,0,0,0,4
279,0,0,1,0,0,1
280,0,0,0,0,0,1
281,0,0,1,0,0,1
282,1,0,0,0,0,4
283,1,0,0,0,0,4
